1,UD01292,0xaA85f72fCdD0df0d1BDD9E577a1e24D0F1779280,4133
2,UD01266,0x0ee024D55093cF2BAba8b117f683D42c92163570,222
3,UD00788,0xd39AaB1104c874a8Fdb9221eD40e12E97A4DF0a7,374
4,UD00416,0xC0e7157FA22CdF2e68A0004FE3D9bEBc76Ae5608,828
5,UD00410,0xF3b0Fe7920d5e41FC1df71E4037c84ac8cD7b0fC,251
6,UD00374,0x0a0Ba09cdb20019CA916Dfecc406B09cf5D6712D,1535
7,UD00364,0x9F1d8d01eb36C31bEfCE73Ff3d78C670827f10b7,222
8,UD00361,0xB384fc0c665Bf8528a633324e53d0F2a0459d6df,1030
9,UD00354,0xC2065EBEf207DEE509FD697910a4d43aD874f45C,244
10,UD00353,0x2b0045E115B37806dC5ea7484cF8fA56619e79e6,222
11,UD00321,0x06a13A076e9a3deaD64e79e2C3A3abF77fb1Bc38,242
12,UD00291,0xfa1E58E838426043e83E4B3B413467966a005310,222
13,UD00290,0x53BaaF4489687AFeE357594BF3f1a04a5EAbe8F6,232
14,UD00277,0xc2B8CA03c7360971B9A25AC1C4A1737A36699366,424
15,UD00270,0x09466Fad4B93e6C89D511018C5324231F2A06C55,242
16,UD00269,0xF1f8800dc1C447eA83e44c6a763aA671C612A442,222
17,UD00265,0x0e7C58694585fa1bDe3aC18Bb6ed96745123848b,222
18,UD00261,0x7806Af155a91182C1b92e86d7815bAD54a393a2D,222
19,UD00260,0x9EE44f74aD798a9D27Ad0c200d25f0d9f8f8C362,270
21,UD00237,0x76af13d52BE9Cf4DD16B7B3C9741C3005F4aa645,308
22,UD00235,0xF6Ba7e6Af6477cD7bE0061a77b4Db11A1e96444f,2040
23,UD00217,0xcea2202Cf29488D9c308268a66D340829ee98aBB,424
24,UD00155,0x1DE0c74B3bCe5a437Af890C491952126729f4805,242
25,UD00138,0xEeEd291004DC3e1aa23A699326523FFA4e829488,1164
26,UD00128,0x9760c7562333542eBc528B6b70ce358Ebc9f7151,50
27,UD00118,0xfe44c3bDeED965dbDc460827693C17Dc626C7d18,7334
28,UD00113,0x08DC94689274A98F646A132E1EeA88eb4B6295b9,221
29,UD00093,0x51735EA8c810e9C2df7b8E06195FeAbe306fD977,323
30,UD00059,0x2F4CDffcB40690852D950151Fb82838ACe54A021,71
31,UD00055,0x71F7419d757857136Be63a98061e0DD5186532fC,283
32,UD00053,0x88B06A5b8B7E1bE78cE139BBf2A47bC6Ca551A8a,87
33,UD00050,0x9c1cF13c0fFf9bb2c59cE7f75bfdA3CdcA84a38c,159
34,UD00042,0xD63299D7d3c7f4100cB24235F267f9cf65de3E09,193
35,UD00028,0x85b39a755Cb73001F8437A8E1Bffd322288EA435,71
36,UD00025,0x3E22F84bD080264Fa876088254b540eB90b658F5,71
37,UD00023,0xB7a48d35b94166f48667B8bC029E12c869880295,424
38,UD00021,0x5e103AA58E4A824E38baA41d0dB0d4FE46F1dD8C,222
39,UD00019,0x200165B68Bda2eba1a07638E7288db2D0206da5E,222
40,UD00012,0xDee433B20db0D50a40f7B02c7DcdcD997254100B,123
41,UD00010,0x92C76D5E3e9dFE8602FCdacBB1608C7A656ce7FC,71
42,UD00009,0xd8c4E3A2d41DF12A8aF8B184a72347435528A07B,500
43,я,0x602A44E855777E8b15597F0cDf476BEbB7aa70dE,1333
44,петя,0x5DD0052452369569F7F0Bc11d9c4Ad0Df8978ef0,1333
45,Putin,0x0905889bD5154Eb8Ac1a72f264977465eC6EDaec,1333
46,Бутаков,0x2E9163fa25aDb8c03E0FdBEc8753823ff82A9f8b,1414
47,Макс,0x7dA6621FD649bA37f592a61FC22B8FbF14AcEf2C,1333
48,Саня,0x80086a7d10Ae4e98eD6fe82f785f07C6A4E91C5c,1333
49,Никита,0x52E45741b08DebBB92f92cF4AA2E6Fadff5749FF,888
50,Витюша,0xb05e36Bc9e3390577110cEAe79F4073126E185f1,893
51,Boris,0x004C9bc8E14B151d4022AdBaDE63d03695456af1,1333
